,Year,Mo,Dy,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Focal Depth (km),Deposits,Country,Area,Region,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Damage ($Mil),Damage Description
134,1820,5,4,4.0,1.0,7.6,29.0,0,MEXICO,NA,88.0,S. MEXICO,17.2,-99.6,4.0,1,1.0,1.5,0,1.0,0.0,1.0
135,1820,7,23,2.0,0.0,7.1,29.0,0,ITALY,NA,50.0,GENOA,44.416666666666664,9.2,1.0,1,0.8,3.0,0,1.0,0.0,1.0
136,1820,12,29,4.0,1.0,7.5,80.0,0,INDONESIA,NA,60.0,FLORES SEA,-7.0,119.0,25.0,7,4.0,3.5,500,3.0,0.0,2.0
137,1820,12,29,2.0,1.0,6.9,29.0,0,GREECE,NA,50.0,ISLAND OF ZAKYNTHOS,37.75,21.25,1.0,1,0.8,3.0,2,1.0,0.0,1.0
138,1820,0,0,2.0,1.0,6.2,29.0,0,CONGO,NA,77.0,GOLD COAST,-4.5,11.6,1.0,2,0.8,1.0,0,3.0,0.0,1.0
139,1820,0,0,3.0,8.0,7.1,29.0,0,USA,WA,88.0,"CAMANO ISLAND, WA",48.06,-122.36,1.0,2,0.8,1.0,0,2.0,0.0,1.0
140,1821,1,9,2.0,1.0,6.5,29.0,1,GREECE,NA,50.0,IONIAN SEA,37.8,21.3,1.0,1,0.8,1.0,0,1.0,0.0,1.0
141,1821,5,0,2.0,1.0,7.1,29.0,0,UK TERRITORY,NA,70.0,ST HELENA,-15.95,-5.7,1.0,1,0.8,1.0,3,1.0,0.0,1.0
142,1821,11,17,2.0,1.0,6.7,29.0,0,ROMANIA,NA,40.0,BLACK SEA,45.7,26.6,0.1,1,0.8,1.0,0,1.0,0.0,1.0
143,1822,5,7,3.0,1.0,7.6,29.0,0,COSTA RICA,NA,74.0,MATINA,9.5,-83.0,1.0,3,0.8,1.0,0,1.0,0.0,1.0
144,1822,8,13,2.0,1.0,7.1,29.0,0,TURKEY,NA,50.0,ANTIOCHIA,36.0,36.0,1.0,3,0.8,3.0,0,1.0,0.0,1.0
145,1822,11,20,4.0,1.0,8.5,29.0,0,CHILE,NA,89.0,CENTRAL CHILE,-33.0,-72.0,3.6,6,1.8,2.0,0,1.0,0.0,1.0
146,1823,3,5,2.0,1.0,7.1,29.0,0,ITALY,NA,50.0,PALERMO,38.3,14.8,1.0,2,0.8,5.0,0,1.0,0.0,1.0
147,1823,8,20,2.0,1.0,7.1,29.0,0,CROATIA,NA,50.0,DUBROVNIK,44.833333333333336,14.616666666666667,1.0,2,0.8,4.0,0,1.0,0.0,1.0
148,1823,9,9,2.0,1.0,6.8,150.0,0,INDONESIA,NA,60.0,JAVA,-6.5,108.5,0.3,1,0.8,-1.5,0,1.0,0.0,1.0
